
ศ์ÿ ๎แ๐เ็เ                     PID ศ์ÿ ๑ๅ๑๑่่          น ๑ๅเํ๑เ       ฯเ์ÿ๒ü ั๎๑๒๎ÿํ่ๅ       ฯ๎๋ü็๎โเ๒ๅ๋ü                                           ย๐ๅ์ÿ ึฯ วเใ๎๋๎โ๎๊ ๎๊ํเ                                                          
csrss.exe                    16208 Console                   15     6 488 สม Running         อ/ฤ                                                     0:00:56 อ/ฤ                                                                     
winlogon.exe                 18268 Console                   15    11 044 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
fontdrvhost.exe              10776 Console                   15    10 608 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
dwm.exe                      18364 Console                   15    72 868 สม Running         อ/ฤ                                                     0:01:47 DWM Notification Window                                                 
NVDisplay.Container.exe       7824 Console                   15    54 140 สม Running         อ/ฤ                                                     0:00:02 NvSvc                                                                   
nvcontainer.exe              18128 Console                   15    26 284 สม Running         STUD-10-059-02\Student                                  0:00:03 BroadcastListenerWindow                                                 
sihost.exe                   17912 Console                   15    37 648 สม Running         STUD-10-059-02\Student                                  0:00:02 OLEChannelWnd                                                           
svchost.exe                   9492 Console                   15    19 264 สม Unknown         STUD-10-059-02\Student                                  0:00:02 อ/ฤ                                                                     
svchost.exe                   7832 Console                   15    37 452 สม Running         STUD-10-059-02\Student                                  0:00:01 Windows Push Notifications Platform                                     
taskhostw.exe                10116 Console                   15    19 220 สม Running         STUD-10-059-02\Student                                  0:00:00 Task Host Window                                                        
taskhostw.exe                14736 Console                   15     2 852 สม Running         STUD-10-059-02\Student                                  0:00:00 Task Host Window                                                        
explorer.exe                 16076 Console                   15   265 188 สม Running         STUD-10-059-02\Student                                  0:01:13 อ/ฤ                                                                     
svchost.exe                   7836 Services                   0     5 856 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   7716 Console                   15    22 976 สม Running         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
StartMenuExperienceHost.e    17972 Console                   15    74 508 สม Running         STUD-10-059-02\Student                                  0:00:02 อเ๗เ๋üํ๛้ ý๊๐เํ                                                         
RuntimeBroker.exe            15612 Console                   15    25 204 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
ctfmon.exe                   11340 Console                   15    34 880 สม Running         STUD-10-059-02\Student                                  0:00:09 อ/ฤ                                                                     
SearchApp.exe                 1044 Console                   15   230 056 สม Running         STUD-10-059-02\Student                                  0:00:13 ฯ๎่๑๊                                                                   
RuntimeBroker.exe            14416 Console                   15    45 264 สม Running         STUD-10-059-02\Student                                  0:00:04 อ/ฤ                                                                     
YourPhone.exe                10140 Console                   15    15 068 สม Running         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
TextInputHost.exe            16876 Console                   15    50 528 สม Running         STUD-10-059-02\Student                                  0:00:01 Microsoft Text Input Application                                        
RuntimeBroker.exe            16564 Console                   15    28 472 สม Running         STUD-10-059-02\Student                                  0:00:03 OleMainThreadWndName                                                    
NVIDIA Web Helper.exe         8864 Console                   15     4 400 สม Running         STUD-10-059-02\Student                                  0:00:01 NVIDIA NodeJS Share Window                                              
conhost.exe                  13640 Console                   15     1 092 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
adskflex.exe                 15316 Services                   0    12 672 สม Unknown         อ/ฤ                                                     0:00:02 อ/ฤ                                                                     
RuntimeBroker.exe            14904 Console                   15    14 276 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
SecurityHealthSystray.exe     1728 Console                   15     9 296 สม Running         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
RtkAudUService64.exe          9744 Console                   15     8 992 สม Running         STUD-10-059-02\Student                                  0:00:00 RealtekAudioBackgroundProcessClass                                      
OneDrive.exe                 14408 Console                   15    87 392 สม Running         STUD-10-059-02\Student                                  0:00:02 DDE Server Window                                                       
EpicGamesLauncher.exe         2204 Console                   15   116 244 สม Running         STUD-10-059-02\Student                                  0:00:27 SystemTray                                                              
GameCenter.exe               12644 Console                   15    52 392 สม Running         STUD-10-059-02\Student                                  0:00:14 อ/ฤ                                                                     
Cortana.exe                   1808 Console                   15    88 064 สม Running         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
EpicWebHelper.exe            11164 Console                   15    43 376 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
WkSvMgr.exe                  17372 Console                   15    11 480 สม Running         STUD-10-059-02\Student                                  0:00:01 QTrayIconMessageWindow                                                  
RuntimeBroker.exe             9788 Console                   15    26 164 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
SpeechRuntime.exe            12236 Console                   15    19 252 สม Running         STUD-10-059-02\Student                                  0:00:00 CSpThreadTask Window                                                    
svchost.exe                   6312 Console                   15    20 432 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
acrotray.exe                 16580 Console                   15     7 652 สม Running         STUD-10-059-02\Student                                  0:00:00 AcrobatTrayIcon                                                         
GameCenter.exe                8672 Console                   15    26 420 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
GameCenter.exe               14184 Console                   15    22 900 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
EpicWebHelper.exe            17472 Console                   15    28 356 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   15568 Console                   15   243 264 สม Running         STUD-10-059-02\Student                                  0:00:55 cmd ๑์ๅํเ ๊๎ไ่๐๎โ๊่ — ฿ํไๅ๊๑: ํเ๘๋๎๑ü 6 ์๋ํ ๐ๅ็๓๋ü๒เ๒๎โ ่ ๅ๙ๅ 19 ๑๒๐เํ่๖
msedge.exe                    6716 Console                   15     7 692 สม Running         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   14188 Console                   15   206 576 สม Running         STUD-10-059-02\Student                                  0:03:10 อ/ฤ                                                                     
msedge.exe                    6748 Console                   15    88 292 สม Unknown         STUD-10-059-02\Student                                  0:00:16 อ/ฤ                                                                     
msedge.exe                   15864 Console                   15    27 840 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                     168 Console                   15     3 692 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    2924 Console                   15    98 344 สม Unknown         STUD-10-059-02\Student                                  0:00:01 อ/ฤ                                                                     
msedge.exe                   16732 Console                   15    41 572 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
Video.UI.exe                  9484 Console                   15     2 336 สม Running         STUD-10-059-02\Student                                  0:00:00 ส่ํ๎ ่ าย                                                               
RuntimeBroker.exe             9768 Console                   15     7 328 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    6488 Console                   15    26 312 สม Running         STUD-10-059-02\Student                                  0:00:00 OleMainThreadWndName                                                    
svchost.exe                  14548 Console                   15    12 256 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
ShellExperienceHost.exe      15384 Console                   15    56 228 สม Running         STUD-10-059-02\Student                                  0:00:00 อ๎โ๎ๅ ๓โๅไ๎์๋ๅํ่ๅ                                                       
RuntimeBroker.exe             7152 Console                   15    16 772 สม Running         STUD-10-059-02\Student                                  0:00:00 OleMainThreadWndName                                                    
dllhost.exe                   2344 Console                   15     7 472 สม Running         STUD-10-059-02\Student                                  0:00:00 OleMainThreadWndName                                                    
dllhost.exe                  18240 Console                   15    14 644 สม Running         STUD-10-059-02\Student                                  0:00:00 OleMainThreadWndName                                                    
UserOOBEBroker.exe           14292 Console                   15     9 056 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
ApplicationFrameHost.exe      7148 Console                   15    35 428 สม Running         STUD-10-059-02\Student                                  0:00:00 ฯเ๐เ์ๅ๒๐๛                                                               
SystemSettings.exe            2328 Console                   15     1 884 สม Running         STUD-10-059-02\Student                                  0:00:00 ฯเ๐เ์ๅ๒๐๛                                                               
msedge.exe                    8464 Console                   15   113 420 สม Unknown         STUD-10-059-02\Student                                  0:00:01 อ/ฤ                                                                     
msedge.exe                    8628 Console                   15   216 624 สม Unknown         STUD-10-059-02\Student                                  0:02:58 อ/ฤ                                                                     
msedge.exe                   14604 Console                   15    67 516 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   10204 Console                   15   114 184 สม Unknown         STUD-10-059-02\Student                                  0:00:05 อ/ฤ                                                                     
msedge.exe                    7216 Console                   15   102 104 สม Unknown         STUD-10-059-02\Student                                  0:00:01 อ/ฤ                                                                     
msedge.exe                    6108 Console                   15   125 264 สม Unknown         STUD-10-059-02\Student                                  0:00:01 อ/ฤ                                                                     
pythonw.exe                   7608 Console                   15    85 676 สม Running         STUD-10-059-02\Student                                  0:00:17 *IDLE Shell 3.11.1*                                                     
msedge.exe                   16440 Console                   15   109 024 สม Unknown         STUD-10-059-02\Student                                  0:00:10 อ/ฤ                                                                     
msedge.exe                    7388 Console                   15   106 548 สม Unknown         STUD-10-059-02\Student                                  0:00:01 อ/ฤ                                                                     
msedge.exe                   14420 Console                   15    68 740 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    8064 Console                   15   151 720 สม Unknown         STUD-10-059-02\Student                                  0:00:03 อ/ฤ                                                                     
msedge.exe                    6292 Console                   15    98 252 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   12260 Console                   15   109 212 สม Unknown         STUD-10-059-02\Student                                  0:00:03 อ/ฤ                                                                     
msedge.exe                   13036 Console                   15   136 736 สม Unknown         STUD-10-059-02\Student                                  0:00:04 อ/ฤ                                                                     
msedge.exe                    7800 Console                   15    57 728 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   16780 Console                   15    20 524 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   14768 Console                   15   108 656 สม Unknown         STUD-10-059-02\Student                                  0:00:02 อ/ฤ                                                                     
msedge.exe                    7120 Console                   15    65 500 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    6784 Console                   15    52 628 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   13256 Console                   15    48 280 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    4016 Console                   15    55 060 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   16812 Console                   15    49 372 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    6616 Console                   15    48 672 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   13328 Console                   15    48 628 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    5812 Console                   15    48 572 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   11432 Console                   15    55 268 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    3720 Console                   15    49 312 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   13116 Console                   15    20 664 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    9148 Console                   15    52 680 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   18416 Console                   15    48 500 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   15956 Console                   15    47 492 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    5864 Console                   15    47 488 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    1944 Console                   15    46 956 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
